id,category,action,owner,ledger_status,project,file,claim,note,what_would_settle_it,how_long
S011,NOT-A-CLOSURE,,,-,set1_overshoot,LEDGER.md,"Set-1 undershoot −2.53pp, p=0.0007, and everything in Phases 2–5 built on it",retraction,,
S003,NOT-A-CLOSURE,,,-,set1_overshoot,LEDGER.md,"Label-verified subsample −5.75pp [−9.71,−1.79], p=0.0062",retraction,,
S012,NOT-A-CLOSURE,,,-,set1_overshoot,LEDGER.md,"""ATP is the thinnest book — median 30 lots, 3¢ spread""",retraction,,
S013,NOT-A-CLOSURE,,,-,set1_overshoot,LEDGER.md,"""Median 106 contracts at the touch""",retraction,,
C003,NOT-A-CLOSURE,,,-,crypto,LEDGER.md,"Round-number settlement pinning, 6/20 survive BH at p≈0",retraction,,
C006,NOT-A-CLOSURE,,,-,crypto,LEDGER.md,Fat-tail edge worth 1.5–1.9¢ net at 2.5–3σ,retraction,,
C013,NOT-A-CLOSURE,,,-,crypto,LEDGER.md,"Mid calibration gap +4.2pp, net +1.00¢ at the ask",retraction,,
C014,NOT-A-CLOSURE,,,-,crypto,LEDGER.md,464 profitable bucket-sum arbitrage violations at 96–97¢,retraction,,
C015,NOT-A-CLOSURE,,,-,crypto,LEDGER.md,Polymarket taker cost is identical to Kalshi,retraction,,
W006,NOT-A-CLOSURE,,,-,wallet-copy-study,LEDGER.md,"""72% of the edge lives in exits""",retraction,,
W011,NOT-A-CLOSURE,,,-,wallet-copy-study,LEDGER.md,"Prior study's naive favourite benchmark +7.05pp on n=98,766",retraction,,
W012,NOT-A-CLOSURE,,,-,wallet-copy-study,LEDGER.md,Copying selected wallets loses −5.90pp,retraction,,
W015,NOT-A-CLOSURE,,,-,wallet-copy-study,LEDGER.md,Polymarket fee formula fits at median relative error 0.96,shrinkage mechanism,,
W016,NOT-A-CLOSURE,,,-,wallet-copy-study,LEDGER.md,enable_order_book is a valid eligibility criterion,"an explicit power statement, correctly made",,
T008,NOT-A-CLOSURE,,,-,kalshi-tennis,LEDGER.md,Stage 5 selective betting returns +14.4% to +24.6% ROI,retraction,,
T010,NOT-A-CLOSURE,,,-,kalshi-tennis,LEDGER.md,Kalshi beats the Betfair closing line by 0.022 Brier,retraction,,
T007,NOT-A-CLOSURE,,,-,kalshi-tennis,LEDGER.md,Market beats model once wide quotes are excluded (+0.03711),retraction,,
T017,NOT-A-CLOSURE,,,-,kalshi-tennis,LEDGER.md,Stage 0 coverage is 74.5%; there is no ITF tier on Kalshi,retraction,,
K006,NOT-A-CLOSURE,,,-,kalshi-market-scan,LEDGER.md,"Depth at the touch collapses 40× toward expiry, so edge and liquidity are anti-correlated",retraction,,
K003,NOT-A-CLOSURE,,,-,kalshi-market-scan,LEDGER.md,"The weather model was validated on 8,090 test markets",retraction,,
K005,NOT-A-CLOSURE,,,-,kalshi-market-scan,LEDGER.md,"""Seven daily families clear the capacity bar, so weather is not capacity-limited""",retraction,,
K015,NOT-A-CLOSURE,,,-,kalshi-market-scan,LEDGER.md,"""Buying everything priced 0.60–0.95 earns +7.05pp ± 0.22 on n=98,766"" — named the finding that reframes the whole copy-trading block",retraction,,
S001,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,The market undershoots after a set-1 dip — it does not overshoot. The effect is real.,"a positive finding, not a closure",,
S002,EVIDENCE,,,SETTLED,set1_overshoot,LEDGER.md,The pre-committed primary entry rule (deep:12) shows no effect at all.,,,
S004,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,The cost bar to beat is 3.6104pp = 1.170 spread + 1.000 slip + 1.441 fee.,"cost arithmetic, recomputed every run",,
S005,FLOOR,RELABEL,tennis,SETTLED,set1_overshoot,LEDGER.md,No time or tier bucket clears the bar. 0 of 25.,0 of 25 time/tier buckets clear the bar -- and the row's own median detectable effect is 3.7-9.0c against a ~2c target. The test could not have seen the thing it reports absent.,The row already prints its own detectable-effect range. Move the status from 'SETTLED (null)' to 'unmeasured at this sample'.,minutes
S006,FLOOR,RELABEL,tennis,SETTLED,set1_overshoot,LEDGER.md,No set-1 margin bucket clears the bar. 0 of 10 (0.25 expected by chance).,"0 of 10 margin buckets, own median detectable effect 9.9c against a ~2c target. Five times too coarse.","Same as S005, and the gap is wider.",minutes
S007,NOT-A-CLOSURE,,,SUGGESTIVE,set1_overshoot,LEDGER.md,Effect strengthens monotonically as set 1 gets shorter/more lopsided (10.86→5.58→2.77pp; 8.15→4.12→1.84pp).,"SUGGESTIVE gradient, openly untested",,
S008,EVIDENCE,,,SETTLED,set1_overshoot,LEDGER.md,Maker/resting orders do not fix it. All 15 fill configurations are net-negative per opportunity.,,,
S009,EVIDENCE,,,SETTLED,set1_overshoot,LEDGER.md,Maker price improvement is already exceeded by adverse selection.,,,
S010,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,"Maker fee is zero on Challenger/ITF (91% of the book), applies only on ATP/WTA.",fee structure fact,,
S014,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,The set-1 detector calls direction correctly 82.5% of the time.,"detector accuracy, externally validated",,
S015,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,"t0 (set-1 end) is estimated +5 min median, MAD 6, against real playing minutes.",estimator tuning fact,,
S016,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,Mirrored Kalshi markets are exact inverses (median mid difference 0.00¢).,structural fact,,
S017,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,The P&L decomposition is an exact identity.,identity check / guard,,
S018,DATA,REOPEN,tennis,SETTLED,set1_overshoot,LEDGER.md,Label coverage cannot be raised. Apify hard-capped; Flashscore dayOffsets is −7..+7 against a −68 need.,'label coverage cannot be raised' rests on exactly two sources -- Apify's tier cap and Flashscore's +/-7 day window. No third source is named anywhere.,"✅ PAID 2026-08-09. tennis-data.co.uk publishes one workbook PER SEASON carrying games won by each player in every set -- free, reaching back years, so the +/-7-day objection that closed this never applied. 1,062 labels on S006's own window against the 479 it used. REFUTED, not resolved: main tour only against a 73-87% ITF pool, and it moves the smallest visible effect 9.9 -> 6.6 against a 3.61 bar.",done -- the join and the ITF gap remain
S019,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,Trade-through is not a generous fill assumption — best bid rises in only 6.1% of minutes.,fill-assumption fact,,
S020,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,"15 headline numbers recomputed independently; 14 confirmed, 1 baseline updated.",audit of 15 numbers,,
S021,FLOOR,REOPEN,tennis,SETTLED,set1_overshoot,LEDGER.md,The tennis strategy line cannot be resolved with the sample available.,"says so itself: needs ~3,970 events for a 2c edge and the recorder accrues ~1,900 matches a week. Written 2026-08-01. The sample it lacked is the cheapest thing in this whole audit.","Count how many matches the forward recorder has accumulated since 2026-08-01 and re-run the primary test if it clears ~3,970.","one count, then one re-run"
S022,BUG,REOPEN,tennis,BROKEN,set1_overshoot,LEDGER.md,Retirement add-back costs −0.004¢.,"computed on the event set the dedupe bug voided, BROKEN, never re-run. Root audit D1, still open.",Re-run the retirement add-back on the clean universe.,one re-run
S023,BUG,REOPEN,tennis,BROKEN,set1_overshoot,LEDGER.md,The fade side loses in all 6 configurations.,"the fade side -- half of 'no edge in either direction' -- computed on the void event set, BROKEN, never re-run.",Re-run p2_fade.py on the outcome-independent dedupe. Half of 'no edge in either direction' currently rests on a void event set.,one re-run
S025,NOT-A-CLOSURE,,,SETTLED,set1_overshoot,LEDGER.md,"The two maker-fee tennis series hold 34.4% of tennis volume on 5.8% of the markets — 5.9× concentration. S010's ""91% of the book"" is a *count*; by volume the ta",structural fact from the API,,
S024,NOT-A-CLOSURE,,,SUGGESTIVE,set1_overshoot,LEDGER.md,plausible duration filter (25–330 min) is immaterial to θ.,"SUGGESTIVE, re-test openly pending",,
C010,EVIDENCE,,,SETTLED,crypto,LEDGER.md,"No model beats Kalshi's own mid. Two tie, two lose. The crypto ladder is efficiently priced.","250 events, controls that prove the test can find a 5% bias",,
C011,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,The settlement-average correction genuinely improves the model (M2 beats M1).,model improvement finding,,
C012,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,Feeding the model fatter tails than the market uses makes the forecast worse.,model finding,,
C005,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,Hourly BTC/ETH returns are severely fat-tailed.,descriptive fact about returns,,
C001,NARROW,RELABEL,devig,SUGGESTIVE,crypto,LEDGER.md,"⚠ WORDING NARROWED 2026-08-09. ""No arbitrage"" rests on 10.5 minutes of scanning. The sentence to quote is K007's 9 hours (52 real violations, 0 with tradeable s","'no arbitrage' from 10.5 minutes of scanning. K007 later found 52 real violations in 9 hours (none tradeable), so the conclusion holds and the stated count did not.",Say '10.5 minutes'. K007's 9 hours is the sentence to quote.,minutes
C002,NARROW,RELABEL,devig,SUGGESTIVE,crypto,LEDGER.md,⚠ WORDING NARROWED 2026-08-09. Same 10.5-minute window as C001; quote K007 instead. The *mechanism* (a 75-leg fee floor of ~1.93¢ against ~1¢ of mispricing) is ,same 10.5-minute window,Same window.,minutes
C004,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,"Polymarket's fee is 0.10 × min(p,1−p), not the documented 0.07·p(1−p).","fee fact, reproduced twice",,
C016,NARROW,REOPEN,devig,SETTLED,crypto,LEDGER.md,"The ""cheap wings"" are not tradeable — they have an ask but no bid.","'the cheap wings are not tradeable' is 61 minutes of one ladder on one day, 2026-08-01, 11 strikes.",Re-check two-sidedness of the far wings across many days rather than the 61 minutes of 2026-08-01 that closed it.,one query over recorded books
C017,EVIDENCE,,,SETTLED,crypto,LEDGER.md,Deribit cannot serve as a reference price for the hourly ladders.,structural: shortest usable Deribit expiry 54.2h against a 1.0h ladder. Kills Deribit; no other venue was probed.,,
C018,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,Kalshi unauthenticated rate limit is 15 req/s sustained; 25 req/s ⇒ 56% rejection.,API fact,,
C007,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,The pipeline finds no edge in synthetic data containing no edge.,control,,
C008,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,"The pipeline detects an injected 15% wing bias, and a 5% one.",control,,
C009,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,The pipeline detects outcome leaked into a feature.,control,,
C019,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,Effective sample size is far below row count — ~360 correlated minutes per event.,guard,,
C020,EVIDENCE,,,SETTLED,crypto,LEDGER.md,ETH does not lead BTC.,,,
C021,EVIDENCE,,,SETTLED,crypto,LEDGER.md,Path/streak structure in 15m opens is tradeable.,"path/streak: every CI that excludes zero is negative, 250 events, entry at ask and exit at bid",,
C022,EVIDENCE,,,SETTLED,crypto,LEDGER.md,Market-making on the ladders is viable.,"closed on evidence 2026-08-08: 17,325 fills, 1,161 events, 23 days, net -0.853c/contract, interval excludes zero. My reopen read the 08-07 file and missed the 08-08 one. WITHDRAWN.",,
C023,FLOOR,REOPEN,devig,?,crypto,LEDGER.md,Hold-to-settlement on the ladders is profitable.,"LEDGER's effect column says 'negative'. The artifact says TIE in 40 of 44 price cells, with ranges +/-5 to 15c against a 1-2c cost bar, and BTC at 5c is +2.93c [-0.01, +6.13].","Same tape pull as C022. Then rewrite the row: 40 of 44 price cells are ties, not 'negative'.",shares C022's pull
C024,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,A silent orderbook parse bug wrote real row counts with empty content for 1h45m.,"recorder bug, openly recorded, fix status unverified",,
